City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
142,Beaverlodge,CA,2022-04-24 14:49:22,55.2166,-119.4361,33.15,64,100,5.68
143,San Patricio,US,2022-04-24 14:49:22,28.017,-97.5169,79.18,68,49,21.92
144,Petropavlovsk-Kamchatskiy,RU,2022-04-24 14:49:22,53.0452,158.6483,36.19,75,0,13.42
145,Qasigiannguit,GL,2022-04-24 14:49:23,68.8193,-51.1922,30.45,92,100,4.9
146,Cherskiy,RU,2022-04-24 14:49:23,68.75,161.3,-4.09,100,87,4.76
147,Batagay-Alyta,RU,2022-04-24 14:49:23,67.8006,130.4114,4.57,97,99,4.29
148,Ponta Do Sol,PT,2022-04-24 14:49:24,32.6667,-17.1,68.72,66,12,8.12
149,Bengkulu,ID,2022-04-24 14:49:20,-3.8004,102.2655,77.47,91,59,3.62
150,Mananjary,MG,2022-04-24 14:49:24,-21.2167,48.3333,75.34,76,90,4.83
151,Soyo,AO,2022-04-24 14:49:24,-6.1349,12.3689,81.52,79,98,8.99
152,Cabo San Lucas,MX,2022-04-24 14:44:41,22.8909,-109.9124,74.61,87,0,5.32
153,Ribeira Grande,PT,2022-04-24 14:49:25,38.5167,-28.7,61.2,63,40,23.02
154,Rundu,NA,2022-04-24 14:49:25,-17.9333,19.7667,82.83,24,14,3.36
155,Ahuimanu,US,2022-04-24 14:49:25,21.4447,-157.8378,74.91,80,75,18.41
156,Miles City,US,2022-04-24 14:49:26,46.4083,-105.8406,36.57,75,0,25.32
157,Creel,MX,2022-04-24 14:46:13,27.75,-107.6333,56.08,25,0,8.57
158,Almaznyy,RU,2022-04-24 14:49:26,48.0448,40.045,63.43,63,86,8.75
159,Linxi,CN,2022-04-24 14:49:27,39.7,118.4333,55.74,70,98,7.7
160,Kloulklubed,PW,2022-04-24 14:49:27,7.0419,134.2556,77.5,78,100,10.49
161,Hambantota,LK,2022-04-24 14:49:27,6.1241,81.1185,82.24,77,26,5.39
162,Bahia Blanca,AR,2022-04-24 14:49:28,-38.7196,-62.2724,68.56,43,100,8.12
163,Assiniboia,CA,2022-04-24 14:45:50,49.6334,-105.9845,33.62,64,100,18.41
164,Fayaoue,NC,2022-04-24 14:49:28,-20.65,166.5333,77.43,72,17,23.29
165,Bathsheba,BB,2022-04-24 14:49:28,13.2167,-59.5167,84.81,58,20,19.57
166,Vanimo,PG,2022-04-24 14:49:29,-2.6741,141.3028,79.84,83,84,4.34
167,Yar-Sale,RU,2022-04-24 14:49:29,66.8333,70.8333,13.59,91,100,4.94
168,Dzhebariki-Khaya,RU,2022-04-24 14:49:29,62.2167,135.8,15.44,97,81,0.56
169,Vila Franca Do Campo,PT,2022-04-24 14:49:30,37.7167,-25.4333,61.21,65,7,17.31
170,Tasiilaq,GL,2022-04-24 14:49:30,65.6145,-37.6368,44.76,70,100,4.38
171,Katsuura,JP,2022-04-24 14:49:30,35.1333,140.3,62.62,93,100,9.82
172,Hirara,JP,2022-04-24 14:49:31,24.8,125.2833,77.63,91,0,12.53
173,Nikolskoye,RU,2022-04-24 14:49:31,59.7035,30.7861,48.87,74,100,9.55
174,Balabac,PH,2022-04-24 14:49:31,7.9868,117.0645,82.27,78,23,9.62
175,Mackay,AU,2022-04-24 14:49:32,-21.15,149.2,73.69,88,100,24.16
176,Port Hardy,CA,2022-04-24 14:49:32,50.6996,-127.4199,46.4,87,100,8.05
177,Avera,US,2022-04-24 14:49:32,33.194,-82.5271,72.91,65,100,6.46
178,Salinopolis,BR,2022-04-24 14:49:33,-0.6136,-47.3561,74.84,91,100,4.52
179,Sal Rei,CV,2022-04-24 14:49:33,16.1833,-22.9167,84.4,37,0,21.85
180,Thamaga,BW,2022-04-24 14:49:33,-24.6701,25.5397,78.03,41,78,5.57
181,Mehamn,NO,2022-04-24 14:49:34,71.0357,27.8492,37.81,83,100,14.67
182,Suntar,RU,2022-04-24 14:49:34,62.1444,117.6319,26.4,93,100,3.29
183,Khatanga,RU,2022-04-24 14:50:34,71.9667,102.5,-3.26,100,100,3.18
184,Launceston,AU,2022-04-24 14:50:35,-41.45,147.1667,50.14,96,83,0.0
185,Whitehorse,CA,2022-04-24 14:50:35,60.7161,-135.0538,33.1,77,75,1.01
186,Muli,MV,2022-04-24 14:50:35,2.9167,73.5667,85.12,69,28,7.87
187,Lompoc,US,2022-04-24 14:50:31,34.6391,-120.4579,67.78,84,0,11.01
